pair,shift,ci_low,ci_high,q_value
CBL-cheb,0.0477791964817305,0.0373542510186328,0.0585518986153193,1.4483475369501716e-12
VN-cheb,0.0458467780726878,0.0336179483040522,0.0576392434987504,8.2453518779153e-10
CBL-mlp,-0.0378961953646782,-0.0441372804229139,-0.0315369221495122,1.0755074947092548e-17
VN-mlp,-0.0378342506645161,-0.0450105528967709,-0.0302434032166013,3.375104582369048e-15
SMN-cheb,0.0331552945802697,0.0238289601533081,0.0423679955995888,5.2547410026337655e-08
DAN-cheb,0.0318567855549186,0.0236459862244486,0.0405719293036654,8.566920043921816e-09
DAN-mlp,-0.0290193259082331,-0.0337179759807606,-0.0242950255565359,9.961326547904796e-17
LIN-cheb,0.026831945734082,0.0174033831959478,0.0362257712986869,0.0001036441735462
SMN-mlp,-0.0251673115111499,-0.0300582981436726,-0.0201025430749984,2.374071519479059e-16
DMN-cheb,0.0243071577135352,0.0163303281314535,0.0318458255452645,0.0001260863030162
VAN-cheb,0.0227523394478457,0.0137134513573312,0.0315970230679463,0.0002699158151217
CBL-gt,-0.0224724066369565,-0.032183164782747,-0.0124619083105602,6.158640341362829e-07
VAN-mlp,-0.0218933650862971,-0.0284972254900974,-0.0157775049039044,4.7777025861601844e-08
SBN-cheb,0.0207470030006435,0.0118181211752184,0.028460859945575,0.0026557013847466
FPN-mlp,-0.0200840811216754,-0.0265189727836434,-0.0138318342407258,7.484359637890655e-07
FPN-cheb,0.0195148205507323,0.0104005522637342,0.028622923758716,0.0016593571178357
SMN-gt,-0.0192435185946047,-0.0282157990325978,-0.0099900759276251,3.861983438394873e-06
SBN-mlp,-0.0189619981254301,-0.0255662462482688,-0.0126316345414657,1.4359264565489765e-05
VN-gt,-0.0176222016740015,-0.0272596090456842,-0.00712024641389,0.0001189802824258
DAN-gt,-0.0167473874920237,-0.025696214600141,-0.0073494479597263,5.84112398683623e-05
DMN-gt,-0.014751853468217,-0.0214202031693096,-0.0080034774891398,3.468783761749435e-05
DMN-mlp,-0.0145360664573508,-0.0204635658731817,-0.0087042445024235,2.4970061214234403e-06
LIN-gt,-0.0145153563978808,-0.0220466554507196,-0.0058343019030874,5.84112398683623e-05
DAN-gcn,0.0139099282010173,0.0063564041514231,0.0214678155903538,0.000547831290922
SBN-gt,-0.0138006985949438,-0.0207926106514388,-0.0067120919896852,2.391991104593934e-05
LIN-mlp,-0.0132495995372856,-0.0184608790702887,-0.0077064664338165,4.626548077045836e-05
FPN-gcn,0.0128583307115172,0.0080332520501477,0.01780307560204,7.484359637890655e-07
VAN-gt,-0.0128157542628348,-0.0200869212670099,-0.0057380358471408,0.0001238084049282
CBL-gcn,0.0125894100565532,-0.0014058807093994,0.0271287934303799,0.0148197118042619
FPN-gt,-0.0122890687196889,-0.0202416582388351,-0.0031363475688109,0.0023856303913408
SBN-gcn,0.0120156909416969,0.0054031310900825,0.0189641206327554,0.0015824433049745
VAN-gcn,0.0119567826859132,0.0061852124348583,0.0181173646333375,4.199035455210657e-05
SMN-gcn,0.0112555370416085,0.0019926802095139,0.0200120304500722,0.8495241161723246
VN-gcn,0.0096096744989809,-0.001014874717358,0.0204343428417505,0.2758735759037707
DMN-gcn,0.0049807653845734,-0.0010499740478416,0.0112450779840119,0.1039619770498555
LIN-gcn,0.0009330119278314,-0.006046854230926,0.0085689743764647,0.2002789399048813
