pair,shift,ci_low,ci_high,q_value,sign_consistency
CBL-cheb,0.04777919648173051,0.037354251018632864,0.05855189861531939,1.4483475369501716e-12,0.75
VN-cheb,0.04584677807268783,0.03361794830405226,0.05763924349875041,8.2453518779153e-10,0.75
CBL-mlp,-0.03789619536467828,-0.044137280422913955,-0.03153692214951221,1.0755074947092548e-17,1.0
VN-mlp,-0.03783425066451612,-0.04501055289677098,-0.030243403216601395,3.375104582369048e-15,0.75
SMN-cheb,0.03315529458026972,0.02382896015330813,0.0423679955995888,5.2547410026337655e-08,0.5
DAN-cheb,0.031856785554918665,0.023645986224448665,0.04057192930366546,8.566920043921816e-09,0.75
DAN-mlp,-0.029019325908233168,-0.03371797598076066,-0.024295025556535985,9.961326547904795e-17,0.75
LIN-cheb,0.026831945734082097,0.01740338319594783,0.036225771298686954,0.00010364417354621227,0.75
SMN-mlp,-0.025167311511149926,-0.03005829814367266,-0.02010254307499845,2.374071519479059e-16,0.75
DMN-cheb,0.024307157713535255,0.016330328131453572,0.0318458255452645,0.00012608630301625892,0.75
VAN-cheb,0.02275233944784577,0.013713451357331265,0.03159702306794639,0.00026991581512176075,0.5
CBL-gt,-0.022472406636956543,-0.03218316478274702,-0.012461908310560224,6.158640341362829e-07,0.5
VAN-mlp,-0.021893365086297134,-0.028497225490097443,-0.01577750490390446,4.7777025861601844e-08,0.5
SBN-cheb,0.020747003000643527,0.01181812117521849,0.02846085994557502,0.002655701384746652,0.75
FPN-mlp,-0.02008408112167548,-0.02651897278364342,-0.013831834240725894,7.484359637890655e-07,1.0
FPN-cheb,0.019514820550732337,0.010400552263734278,0.028622923758716088,0.0016593571178357578,0.75
SMN-gt,-0.019243518594604797,-0.02821579903259782,-0.009990075927625155,3.861983438394873e-06,0.75
SBN-mlp,-0.018961998125430174,-0.02556624624826885,-0.012631634541465767,1.4359264565489765e-05,0.75
VN-gt,-0.017622201674001525,-0.027259609045684276,-0.007120246413890036,0.00011898028242585275,0.5
DAN-gt,-0.016747387492023758,-0.02569621460014107,-0.007349447959726348,5.84112398683623e-05,0.75
DMN-gt,-0.014751853468217085,-0.021420203169309638,-0.008003477489139845,3.468783761749435e-05,0.75
DMN-mlp,-0.01453606645735081,-0.02046356587318178,-0.008704244502423542,2.4970061214234403e-06,0.75
LIN-gt,-0.014515356397880819,-0.0220466554507196,-0.0058343019030874695,5.84112398683623e-05,0.75
DAN-gcn,0.01390992820101733,0.006356404151423162,0.021467815590353875,0.0005478312909220732,0.5
SBN-gt,-0.013800698594943872,-0.02079261065143889,-0.006712091989685238,2.391991104593934e-05,0.5
LIN-mlp,-0.013249599537285606,-0.01846087907028872,-0.007706466433816516,4.6265480770458355e-05,1.0
FPN-gcn,0.012858330711517263,0.008033252050147736,0.017803075602040017,7.484359637890655e-07,0.75
VAN-gt,-0.012815754262834878,-0.020086921267009956,-0.005738035847140805,0.00012380840492823896,0.75
CBL-gcn,0.012589410056553285,-0.0014058807093994055,0.02712879343037999,0.014819711804261901,0.75
FPN-gt,-0.01228906871968899,-0.02024165823883512,-0.003136347568810987,0.002385630391340847,1.0
SBN-gcn,0.01201569094169691,0.005403131090082576,0.018964120632755446,0.0015824433049745432,0.75
VAN-gcn,0.01195678268591327,0.006185212434858305,0.018117364633337553,4.199035455210657e-05,0.75
SMN-gcn,0.01125553704160856,0.001992680209513962,0.02001203045007225,0.8495241161723246,0.5
VN-gcn,0.00960967449898098,-0.0010148747173580428,0.020434342841750514,0.27587357590377076,0.75
DMN-gcn,0.004980765384573427,-0.0010499740478416896,0.011245077984011921,0.10396197704985553,0.5
LIN-gcn,0.0009330119278314619,-0.0060468542309260005,0.008568974376464705,0.20027893990488133,0.75
