network,expert,p_value,effect_shift,n_hc,n_adhd,q_value,significant
SMN,mlp,1.9783929328992158e-17,-0.025167311511149926,360,113,2.374071519479059e-16,True
SMN,cheb,1.3136852506584414e-08,0.03315529458026972,360,113,5.2547410026337655e-08,True
SMN,gt,1.5018824482646728e-06,-0.019243518594604797,360,113,3.861983438394873e-06,True
SMN,gcn,0.8495241161723246,0.01125553704160856,360,113,0.8495241161723246,False
DMN,mlp,9.016966549584646e-07,-0.01453606645735081,360,113,2.4970061214234403e-06,True
DMN,cheb,8.75599326501798e-05,0.024307157713535255,360,113,0.00012608630301625892,True
DMN,gt,1.6380367763816774e-05,-0.014751853468217085,360,113,3.468783761749435e-05,True
DMN,gcn,0.09529847896236757,0.004980765384573427,360,113,0.10396197704985553,False
FPN,mlp,2.4738544074538097e-07,-0.02008408112167548,360,113,7.484359637890655e-07,True
FPN,cheb,0.0013367043449232494,0.019514820550732337,360,113,0.0016593571178357578,True
FPN,gt,0.0019880253261173727,-0.01228906871968899,360,113,0.002385630391340847,True
FPN,gcn,2.4947865459635516e-07,0.012858330711517263,360,113,7.484359637890655e-07,True
DAN,mlp,5.534070304391553e-18,-0.029019325908233168,360,113,9.961326547904795e-17,True
DAN,cheb,1.665790008540353e-09,0.031856785554918665,360,113,8.566920043921816e-09,True
DAN,gt,3.407322325654468e-05,-0.016747387492023758,360,113,5.84112398683623e-05,True
DAN,gcn,0.00041087346819155494,0.01390992820101733,360,113,0.0005478312909220732,True
VN,mlp,3.750116202632275e-16,-0.03783425066451612,360,113,3.375104582369048e-15,True
VN,cheb,1.3742253129858834e-10,0.04584677807268783,360,113,8.2453518779153e-10,True
VN,gt,7.601518043873925e-05,-0.017622201674001525,360,113,0.00011898028242585275,True
VN,gcn,0.2682104210175549,0.00960967449898098,360,113,0.27587357590377076,False
LIN,mlp,2.4417892628853022e-05,-0.013249599537285606,360,113,4.6265480770458355e-05,True
LIN,cheb,6.333810605601862e-05,0.026831945734082097,360,113,0.00010364417354621227,True
LIN,gt,3.3376357265142756e-05,-0.014515356397880819,360,113,5.84112398683623e-05,True
LIN,gcn,0.1891523321323879,0.0009330119278314619,360,113,0.20027893990488133,False
SBN,mlp,5.983026902287402e-06,-0.018961998125430174,360,113,1.4359264565489765e-05,True
SBN,cheb,0.002286853970198506,0.020747003000643527,360,113,0.002655701384746652,True
SBN,gt,1.063107157597304e-05,-0.013800698594943872,360,113,2.391991104593934e-05,True
SBN,gcn,0.0012307892372024226,0.01201569094169691,360,113,0.0015824433049745432,True
VAN,mlp,1.0617116858133743e-08,-0.021893365086297134,360,113,4.7777025861601844e-08,True
VAN,cheb,0.00019493919981016054,0.02275233944784577,360,113,0.00026991581512176075,True
VAN,gt,8.253893661882597e-05,-0.012815754262834878,360,113,0.00012380840492823896,True
VAN,gcn,2.0995177276053285e-05,0.01195678268591327,360,113,4.199035455210657e-05,True
CBL,mlp,2.9875208186368187e-19,-0.03789619536467828,360,113,1.0755074947092548e-17,True
CBL,cheb,2.0115938013196828e-13,0.04777919648173051,360,113,1.4483475369501716e-12,True
CBL,gt,1.7107334281563416e-07,-0.022472406636956543,360,113,6.158640341362829e-07,True
CBL,gcn,0.013173077159343911,0.012589410056553285,360,113,0.014819711804261901,True
