network,expert,hc_mean,adhd_mean,shift,n_hc,n_adhd
SMN,mlp,0.20968375222550498,0.18451644071435505,-0.025167311511149926,360,113
SMN,cheb,0.27818331867456436,0.3113386132548341,0.03315529458026972,360,113
SMN,gt,0.2640723891970184,0.24482887060241362,-0.019243518594604797,360,113
SMN,gcn,0.2480605530242125,0.25931609006582107,0.01125553704160856,360,113
DMN,mlp,0.20724377002980973,0.19270770357245892,-0.01453606645735081,360,113
DMN,cheb,0.26877270800371966,0.2930798657172549,0.024307157713535255,360,113
DMN,gt,0.2556182717697488,0.2408664183015317,-0.014751853468217085,360,113
DMN,gcn,0.26836526522205933,0.27334603060663276,0.004980765384573427,360,113
FPN,mlp,0.21908335640198653,0.19899927528031106,-0.02008408112167548,360,113
FPN,cheb,0.26515536477996243,0.28467018533069477,0.019514820550732337,360,113
FPN,gt,0.2548107393913799,0.2425216706716909,-0.01228906871968899,360,113
FPN,gcn,0.2609505517201291,0.27380888243164636,0.012858330711517263,360,113
DAN,mlp,0.20538249111009968,0.1763631652018665,-0.029019325908233168,360,113
DAN,cheb,0.27625802490446305,0.3081148104593817,0.031856785554918665,360,113
DAN,gt,0.2582755133509636,0.24152812585893985,-0.016747387492023758,360,113
DAN,gcn,0.2600839852458901,0.27399391344690743,0.01390992820101733,360,113
VN,mlp,0.19879036295331187,0.16095611228879575,-0.03783425066451612,360,113
VN,cheb,0.27896952128244773,0.32481629935513556,0.04584677807268783,360,113
VN,gt,0.248676833551791,0.23105463187778946,-0.017622201674001525,360,113
VN,gcn,0.273563301232126,0.283172975731107,0.00960967449898098,360,113
LIN,mlp,0.19505923746360673,0.18180963792632113,-0.013249599537285606,360,113
LIN,cheb,0.27371116168797016,0.30054310742205226,0.026831945734082097,360,113
LIN,gt,0.25419062334630227,0.23967526694842145,-0.014515356397880819,360,113
LIN,gcn,0.2770389933139086,0.27797200524174004,0.0009330119278314619,360,113
SBN,mlp,0.20144263336228,0.18248063523684982,-0.018961998125430174,360,113
SBN,cheb,0.2771229326311085,0.297869935631752,0.020747003000643527,360,113
SBN,gt,0.2616009467177921,0.24780024812284823,-0.013800698594943872,360,113
SBN,gcn,0.2598335041768021,0.27184919511849903,0.01201569094169691,360,113
VAN,mlp,0.21113522168662813,0.189241856600331,-0.021893365086297134,360,113
VAN,cheb,0.2735789159933726,0.29633125544121836,0.02275233944784577,360,113
VAN,gt,0.2639020485182603,0.25108629425542545,-0.012815754262834878,360,113
VAN,gcn,0.25138382895125283,0.2633406116371661,0.01195678268591327,360,113
CBL,mlp,0.2024989770518409,0.1646027816871626,-0.03789619536467828,360,113
CBL,cheb,0.27699891014231576,0.32477810662404627,0.04777919648173051,360,113
CBL,gt,0.25036361403763296,0.22789120740067642,-0.022472406636956543,360,113
CBL,gcn,0.2701385109788842,0.2827279210354375,0.012589410056553285,360,113
